traitGene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	candidate_snp	SNP.PP.H4	hypr_posterior	hypr_regional_prob	hypr_candidate_snp	hypr_posterior_explainedBySnp
ENSG00000065802.11	7294	6.37086386654434e-07	0.462180601376149	6.92111752112527e-07	0.502063540812909	0.0357545286128029	rs60079197	0.118259226438699	0	0.0098	rs72620825	0.1157
ENSG00000066230.10	4639	6.74499715431403e-17	2.16369199466936e-08	3.11735542289386e-09	0.999999973124702	2.12101971889266e-09	rs35033501	0.993219909113278	0	0.0014	rs2561666	0.4668
ENSG00000066379.14	14009	3.63643417035419e-08	0.172448856706998	1.65965211245983e-07	0.78700824167944	0.0405426992840088	rs2285795	0.0546552570319355	2e-04	0.0513	rs2285795	0.0613
ENSG00000068654.15	4723	1.78199905832887e-26	6.52246342160665e-09	2.73209511567801e-18	0.999999992876567	6.00968378848996e-10	rs10175792	0.198896817544639	0	0.0022	rs35117798	0.2446
ENSG00000069275.12	4981	1.66378161078293e-06	0.00367565683344445	1.57256003984215e-05	0.0337787564700131	0.962528197314534	rs823154	0.299049465439167	0.9364	0.9993	rs823154	0.4423
ENSG00000069943.9	7906	0.00331736441743626	0.325665322082999	0.00646008090984931	0.634155073253157	0.0304021593365585	rs142449279	0.921197276872918	1e-04	0.0164	rs142449279	0.9126
ENSG00000070010.18	5172	0.00683013352554791	0.537201673388883	0.00525376385489307	0.413179970569865	0.0375344586608109	rs2238775	0.181100830210586	1e-04	0.0064	rs2238775	0.1884
ENSG00000070371.15	4714	0.00377230741468792	0.296621616133851	0.0085680556061694	0.673700422287914	0.017337598557378	rs2238775	0.177119133258654	0	0.0073	rs2238775	0.1797
ENSG00000070413.19	4307	8.15515682940011e-07	6.4070916334371e-05	0.0125663636391838	0.98727513627626	9.36136525388135e-05	rs73158869	0.128548783104467	0	0.002	rs73158869	0.426
ENSG00000070669.16	6008	1.78576176237573e-38	6.25634453139584e-08	2.85432113572313e-31	0.999999933053433	4.38311711793042e-09	rs6965016	0.100819032755366	0	0.0126	rs6465657	0.1072
ENSG00000071967.11	5795	1.84421351299101e-40	0.00390059323188569	4.70802425209222e-38	0.995767642166001	0.000331764602109994	rs28485589	0.0961685890942965	0	0.0106	rs141195656	0.0931
ENSG00000072858.10	5651	5.43790438820432e-21	0.232826183389922	4.6156061385163e-21	0.197049010166378	0.5701248064437	rs1567780	0.33524975986968	0.2833	0.4933	rs1567780	0.2977
ENSG00000074603.18	4860	2.37699484295894e-05	0.633353333782105	1.21754832996879e-05	0.324375083192865	0.0422356375933004	rs80326387	0.0446066365137705	2e-04	0.007	rs41277720	0.0444
ENSG00000074657.13	7365	0.000356541402059234	0.537206622918191	0.000279155354104453	0.420566237498931	0.0415914428267145	rs12956892	0.0531391002387413	1e-04	0.0092	rs12956892	0.0661
ENSG00000075131.9	5743	1.52183119992914e-09	4.4297682741471e-05	3.43517207956209e-05	0.999914852325221	6.49674941229166e-06	rs41277720	0.0222956742963392	0	0.0218	rs34770766	0.045
ENSG00000080546.13	4918	3.44779552906412e-06	0.0892595247152379	6.51448535972836e-06	0.16790983347934	0.742820679524533	rs6935782	0.243326501639356	0.6257	0.9782	rs6935782	0.1535
ENSG00000080854.14	7175	1.18901409190284e-08	3.75888289290135e-06	0.00315296895694925	0.996761954976279	8.13052937367357e-05	rs329637	0.122828258356363	0	0.0066	rs502834	0.1728
ENSG00000083937.8	5381	2.66165591560879e-41	0.0334695567336148	1.02201019967489e-40	0.12767598534446	0.83885445792192	rs17023964	0.551455781980929	0.4448	0.9636	rs17023964	0.5782
ENSG00000084674.14	5495	2.09493266541348e-15	0.611826806750938	1.20428119932063e-15	0.351674815678006	0.0364983775710532	rs9306894	0.592645129564632	3e-04	0.0096	rs9306894	0.5745
ENSG00000085511.19	611	7.76529181110787e-30	0.876718211619128	3.92478275592498e-31	0.0442325955266155	0.079049192854262	rs651164	0.999999924977377	0.005	0.0131	rs651164	1
ENSG00000086102.18	6229	0.000541448791536836	0.410198389539993	0.000746789980270472	0.565740882393124	0.0227724892950752	rs10122495	0.0636231109597292	0	0.0062	rs10122495	0.0671
ENSG00000086544.2	5670	2.38798693170943e-18	0.278109283895185	5.88017771541221e-18	0.684779036975027	0.0371116791297907	rs2079811	0.997970177004611	0	0.0198	rs2079811	0.9981
ENSG00000086827.8	5937	3.646831712228e-05	0.413354521091378	4.94397008213876e-05	0.560354022236532	0.0262055486541458	rs11606284	0.0974362139751395	0	0.0074	rs11606284	0.0904
ENSG00000089597.16	5076	0.000325044231240327	0.620483785712972	0.000170888430281718	0.326159666680612	0.0528606149448937	rs2277283	0.904671093723563	1e-04	0.0108	rs2277283	0.8656
ENSG00000091844.7	7173	2.79716245892868e-21	2.61792531602701e-05	1.47375959679665e-17	0.137069468716834	0.862904352030008	rs13215402	0.0875582747634463	0.3298	1	rs6934121	0.1204
ENSG00000092036.18	4693	1.52441468706947e-15	6.89793438076269e-16	0.305894049088682	0.1378599668731	0.556245984038216	rs4981455	0.206062958095744	0.1997	0.3205	rs4981455	0.2456
ENSG00000095110.7	5390	6.49017199635615e-06	0.0735632858401396	8.13068517984164e-05	0.921573139718019	0.00477577741804647	rs11606284	0.100853704500127	0	0.0097	rs11606284	0.0947
ENSG00000095321.16	5300	7.58125483032019e-05	0.442793977564829	8.46694601064031e-05	0.494461447322384	0.0625840931043774	rs1182	0.11522141307075	5e-04	0.0263	rs1182	0.1309
ENSG00000096433.10	13592	1.79450606562275e-14	1.54188254801681e-07	1.1638406272697e-07	0.999999713686728	1.57409360863574e-08	rs9272226	0.169524504877068	0	0.0011	rs2296741	0.2566
ENSG00000099330.8	6299	5.45369775791908e-07	0.000231464588746365	0.00234999126986878	0.997377861944186	4.01368274232813e-05	rs3745163	0.17105516983268	0	0.0015	rs3745163	0.5013
ENSG00000099331.13	6287	1.97881393471496e-05	0.00839665089211099	7.48090400824843e-05	0.0307828039578384	0.960725947970621	rs11666569	0.241618436053325	0.9293	0.9969	rs11666569	0.2282
ENSG00000099338.22	5157	8.06889444752558e-28	0.452571085040171	9.29453290084725e-28	0.521289000249004	0.0261399147108252	rs11083450	0.30440208790357	0	0.0078	rs11083450	0.323
ENSG00000099810.18	6199	8.99688254708063e-05	0.281561683637716	0.000223217778577332	0.698550994338859	0.0195741354193778	rs17694493	0.992261555361093	0	0.0091	rs17694493	0.9928
ENSG00000099889.13	6536	0.00317100303531599	0.249564412121228	0.00909508179990306	0.715779113837704	0.0223903892058491	rs2238775	0.169759659809768	0	0.0131	rs2238775	0.1696
ENSG00000099899.14	6471	0.00697893703827433	0.549278232995903	0.00501249955479908	0.394465225847024	0.0442651045640003	rs2238775	0.180181095585165	0	0.0111	rs2238775	0.1246
ENSG00000099917.17	5489	5.32082838632613e-06	0.000418710181898463	0.0125199559861954	0.985226911184658	0.00182910181886194	rs11704624	0.113793035689557	0	0.0326	rs11704624	0.3429
ENSG00000100056.11	4286	0.00144338223410013	0.113415420659944	0.0110382106236127	0.867333337242536	0.00676964923980686	rs2238775	0.175209811953855	0	0.0024	rs1936951	0.5285
ENSG00000100285.9	381	0.00884365200623507	0.871156270025873	0.000365354054697651	0.0359059817648725	0.0837287421483219	rs9625483	0.567144967180091	0.0075	0.0161	rs9625483	0.5631
ENSG00000100439.10	6270	0.0259119548719746	0.0123988829693914	0.646998096914434	0.309583795794647	0.00510726944955335	rs8011143	0.592663534045009	0	0.0012	rs8011143	0.9955
ENSG00000100461.17	4916	1.55283229393769e-10	7.07264558521952e-11	0.224807371488575	0.101718965603994	0.673473662681421	rs55894132	0.0664282878881338	0.3159	0.434	rs55894132	0.1051
ENSG00000100804.18	4450	0.475747642614395	0.213589068976519	0.202242229499779	0.0907799280787877	0.0176411308305185	rs55648471	0.025745592759915	0	0.0024	rs11543947	0.789
ENSG00000101337.15	4173	0.00723920928343248	0.697912143215081	0.00255461930209597	0.246237724482222	0.046056303717169	rs1007123	0.0602156220363622	6e-04	0.0102	rs1007123	0.0584
ENSG00000101417.11	3620	0.00523960902074834	0.504333626325846	0.00473641292238092	0.455869139084165	0.0298212126468599	rs1007123	0.0569160472539598	0	0.0053	rs1007123	0.0539
ENSG00000101751.10	6759	2.16516092693522e-08	1.70691252511302e-06	0.00092454748318175	0.0719599247332224	0.927113799219461	rs3730783	0.0884216670575629	0.8321	0.9957	rs3730783	0.1008
ENSG00000103599.19	5370	3.9912091099116e-06	0.116176264485197	2.95236929572756e-05	0.859352324164554	0.0244378964481821	rs41277720	0.037811655152079	1e-04	0.0441	rs41277720	0.0434
ENSG00000103932.11	5015	7.17072570810021e-09	1.00460952146879e-05	0.000713262497244432	0.999271651989766	5.03224704978906e-06	rs2297377	0.297353617156492	0	0.0016	rs2297377	0.601
ENSG00000104142.10	4578	0.000490115207490613	0.686727691039803	0.000189237092658028	0.26510313132249	0.0474898253375583	rs8041443	0.0409457731777229	5e-04	0.0089	rs8041443	0.046
ENSG00000104689.9	5920	4.50453607723291e-53	0.477450413079834	4.6816552385426e-53	0.496197496317925	0.0263520906022357	rs11135766	0.312833241874858	0	0.0065	rs11135766	0.3401
ENSG00000104835.14	5812	1.38392406732164e-33	7.76220361827924e-07	1.7828994921093e-27	0.999999148393975	7.53856605234454e-08	rs11083450	0.26134143987093	0	0.0101	rs11083450	0.2681
ENSG00000105072.8	7349	4.01298417524172e-09	1.70315814614143e-06	0.00235049094516804	0.99757620228478	7.15995989194579e-05	rs3810199	0.186403891050951	0	0.0083	rs3810199	0.2844
ENSG00000105085.10	7119	0.00131612942668943	0.558548856261711	0.000914217819835924	0.387931311076808	0.051289485414956	rs11666569	0.16233967575245	6e-04	0.0144	rs11669463	0.1904
ENSG00000105185.11	6559	0.000742291279767934	0.261396973589473	0.00202610740535813	0.7134688989044	0.022365728821001	rs17501397	0.340487318546664	0	0.0107	rs17501397	0.3321
ENSG00000105186.15	6563	0.0017207983478568	0.571326005916782	0.00114251680027176	0.379282962578114	0.0465277163569759	rs17501397	0.34426002105229	3e-04	0.0118	rs17501397	0.3312
ENSG00000105641.3	6385	0.00106273974813186	0.451051476332676	0.000755404128480946	0.32038434240461	0.226746037386101	rs11666569	0.193925832133013	0.0236	0.1067	rs8101673	0.1873
ENSG00000105643.9	6289	0.00082390627710692	0.349682766911105	0.00137478024147764	0.58342030738875	0.0646982391815595	rs11666569	0.225830057899715	3e-04	0.0328	rs11666569	0.2066
ENSG00000105737.9	4519	4.9316028262374e-18	0.574343398721429	3.24569609127957e-18	0.377951941695679	0.0477046595828945	rs2079811	0.99777124380154	2e-04	0.0109	rs2079811	0.9978
ENSG00000105738.10	4755	1.36973052177372e-29	0.0076825943440352	1.76843377403185e-27	0.991885131653178	0.000432274002793575	rs11083450	0.285740110511371	0	0.0053	rs11083450	0.3008
ENSG00000106031.7	5201	1.43987438059829e-32	0.455333790687372	8.00280465813914e-33	0.25278209443643	0.291884114876205	rs17156041	0.706146645699547	0.0747	0.1798	rs17156041	0.7321
ENSG00000107164.15	6605	4.5567591775265e-05	0.266138896482084	0.000122796725093392	0.717181471657438	0.0165112675436089	rs1182	0.0954876668051035	0	0.0059	rs1182	0.1035
ENSG00000107317.12	5875	0.558606458067531	0.0747116506274034	0.316926836050928	0.0423804759503849	0.00737457930375304	rs148111971	0.0139458741757981	1e-04	0.0023	rs35342663	0.0562
ENSG00000108395.13	3456	0.00457010352128184	0.21446638847813	0.0159445978870874	0.748233294202965	0.0167856159105366	rs2189681	0.263962091661627	1e-04	0.017	rs2189681	0.1263
ENSG00000108465.14	5093	1.013190051969e-39	0.205958698528054	3.81098308701819e-39	0.77466758179212	0.019373719679825	rs138467395	1	0	0.0135	rs138467395	1
ENSG00000108651.9	4628	0.000198724044679983	0.666985186739542	8.62060957239133e-05	0.289293412258712	0.0434364708613423	rs117487556	0.112726205633758	3e-04	0.0077	rs117487556	0.1109
ENSG00000108839.11	6514	2.30626692715058e-11	0.520087359699876	1.86934499425155e-11	0.421498471108504	0.0584141691498643	rs9898040	0.195890356428332	0.001	0.0226	rs9898040	0.1951
ENSG00000108947.4	5711	2.48469723234264e-11	0.560325280940333	1.73870495741158e-11	0.392048574169847	0.0476261448475874	rs9898040	0.196123216199732	2e-04	0.0134	rs9898040	0.1955
ENSG00000110092.3	6240	6.02551842704759e-92	0.599219409572643	3.63494435002058e-92	0.361444781054581	0.0393358093727822	rs12795301	0.347783962632237	3e-04	0.0096	rs12795301	0.3815
ENSG00000110628.13	7026	1.79754408935477e-70	8.02117030118693e-09	2.24099976251993e-62	0.999999991462488	5.1635021788605e-10	rs10840603	0.0795919494750729	0	0.0095	rs10840603	0.0737
ENSG00000110660.14	5666	0.000872302894181905	0.390430950608722	0.00125858598400429	0.563281868917185	0.0441562915959075	rs1800057	0.371262757946633	3e-04	0.0271	rs1800057	0.3689
ENSG00000110665.11	7015	4.43782301568806e-63	0.198028712542669	1.76845807863085e-62	0.789125150712014	0.012846136745303	rs10840603	0.0793909445482291	0	0.0092	rs10840603	0.0734
ENSG00000110675.12	5954	0.00135038165963645	0.603409142792879	0.000753244764866571	0.336524494999703	0.0579627357829151	rs1800057	0.3717326457162	0.0011	0.0185	rs1800057	0.3694
ENSG00000110711.9	4423	0.00135164693067773	0.624500678046745	0.000668821823056396	0.308950846134873	0.0645280070646479	rs12785905	0.297319073213593	9e-04	0.0169	rs12785905	0.2846
ENSG00000110717.12	5140	0.00152366124105999	0.628056172987018	0.000756349764204631	0.311710913788596	0.0579529022191217	rs12785905	0.323984565444555	7e-04	0.0129	rs12785905	0.2767
ENSG00000111834.12	5284	2.09168105745585e-16	0.562698897303918	1.46224597018725e-16	0.39332584184322	0.0439752608528621	rs34272842	0.196261840079149	1e-04	0.0117	rs339297	0.1888
ENSG00000112031.15	7327	2.96267686187834e-48	2.77283385352215e-32	1.06846533848936e-16	1	2.04554508894851e-18	rs6917114	0.38715416082401	0	0.0047	rs6917114	0.5179
ENSG00000112033.13	5083	0.000104666770802418	0.561704312029247	7.36565632146732e-05	0.395242169425475	0.0428751952112601	rs9469899	0.0180348118668263	3e-04	0.0103	rs9469899	0.0183
ENSG00000112041.12	5246	1.70759813046745e-06	0.00916452843135056	0.000184481137789001	0.990093425946888	0.000555856885841575	rs9469899	0.0231377347997781	0	0.0063	rs9469899	0.0216
ENSG00000112110.9	4963	5.46529159339142e-32	0.00617043221077815	8.79904372311816e-30	0.993430635540369	0.00039893224885383	rs651164	0.999999877256223	0	0.0071	rs651164	1
ENSG00000112499.12	2947	3.54418192101581e-31	0.0400145791173109	8.47984294944089e-30	0.957389982495418	0.00259543838727585	rs651164	0.999940854687405	0	0.0106	rs651164	0.9995
ENSG00000112667.12	5120	0.00532786504898271	0.458510475246	0.0037014760270981	0.318331013526449	0.21412917015147	rs4711748	0.255681183824847	0.0084	0.1022	rs4711748	0.2615
ENSG00000112697.15	4935	0.00550674758341836	0.631235707573588	0.00261733565185362	0.299963193177398	0.0606770160137423	rs9443189	0.170209108176137	5e-04	0.0107	rs9443189	0.1868
ENSG00000112877.7	4639	2.49225716164393e-12	0.000799478005095579	3.1146107798929e-09	0.999119452535673	8.10663421294906e-05	rs35033501	0.999994974577963	0	0.02	rs35033501	0.9999
ENSG00000113430.9	1404	2.53290640841296e-09	0.812517661430625	2.98782281041733e-10	0.095753059723136	0.0917292760145509	rs35033501	0.999996415200849	0.0094	0.0263	rs35033501	1
ENSG00000114125.13	5030	0.0025881911168741	0.515679584432166	0.00220378385864195	0.439048556854533	0.040479883737785	rs9846396	0.30405684654914	0	0.0072	rs9846396	0.2667
ENSG00000115423.18	5473	2.63625892744841e-24	2.56804582280066e-08	1.02656223365676e-16	0.999999972891509	1.4280335440117e-09	rs7591175	0.508646024555171	0	0.0075	rs7591175	0.489
ENSG00000115486.11	5389	1.59441291061043e-24	5.83586160710231e-07	2.87580299366419e-20	0.0095355348535411	0.990463881560298	rs10175792	0.283622779429286	0.983	1	rs10175792	0.3449
ENSG00000115523.16	5329	1.85116624221179e-20	0.00677562877808834	2.70405789200944e-18	0.989734333228769	0.00349003799314486	rs10175792	0.185986773067384	0	0.1078	rs10175792	0.2013
ENSG00000115648.13	6846	5.8390043833183e-09	0.00423596341069047	1.48527472472812e-07	0.106861820077169	0.888902062145663	rs72620824	0.359241467815854	0.7378	0.9998	rs72620824	0.5462
ENSG00000115694.14	5530	1.08840214427705e-14	0.596382421613531	5.53438128574659e-15	0.303152126495039	0.100465451891416	rs76832527	0.795861338748475	0.0047	0.0325	rs76832527	0.7761
ENSG00000115750.16	6856	2.16870753865229e-19	2.02228061990902e-07	1.07240659623666e-12	0.999999786765082	1.10057836934214e-08	rs113822101	0.0144004338373373	0	0.0061	rs2245344	0.1943
ENSG00000115944.14	6488	6.57711867052338e-17	0.000476726510793854	1.37894551792449e-13	0.999495219433483	2.80540555858017e-05	rs7572765	0.968821259169375	0	0.0062	rs7572765	0.9768
ENSG00000117222.13	5666	3.3391087851627e-19	0.333928805744777	6.43545145620704e-19	0.643557182687346	0.0225140115678741	rs4245739	0.10327629120606	0	0.0087	rs4245739	0.0975
ENSG00000117280.12	4977	3.25162550540685e-09	7.18352771413561e-06	1.3931358743867e-05	0.0298071430121036	0.970171738849814	rs708723	0.319108286327462	0.9428	1	rs708723	0.403
ENSG00000118292.8	2748	1.10129240227294e-08	0.700462139964806	3.81150664788643e-09	0.242368556845626	0.057169288365139	rs1811698	0.174958524956027	0	0.0099	rs1811698	0.1964
ENSG00000118640.10	5389	1.49872714641492e-18	0.5485633084805	9.20693814881675e-19	0.336877298262202	0.114559393257297	rs10175792	0.177809777661436	0.0019	0.024	rs10175792	0.1962
ENSG00000118690.12	4933	2.01332833514058e-13	5.21228025219585e-09	3.86251204119819e-05	0.999960854593061	5.15074045514347e-07	rs2806379	0.0441852402044556	0	0.0033	rs2806379	0.0964
ENSG00000118961.14	5783	4.06307636835087e-17	0.0118662479280338	2.04088727736249e-16	0.0586748217447681	0.929458930327199	rs9306895	0.489240352194946	0.73	0.9832	rs9306895	0.5122
ENSG00000118965.14	6436	1.30805632816376e-15	0.382018925726584	2.03544548559255e-15	0.594429975893569	0.0235510983798407	rs9306894	0.602172412211548	0	0.0073	rs9306894	0.5884
ENSG00000119185.12	6292	1.17882341883817e-05	0.255906133703642	3.31882966481911e-05	0.720448061315724	0.0236008284497979	rs73913932	0.174375935433649	0	0.0152	rs73913932	0.1758
ENSG00000119383.19	5299	7.99626566697995e-06	0.0467033273678478	0.000162529605681683	0.949273434617623	0.00385271214318	rs1182	0.101111072126401	0	0.0078	rs1182	0.1094
ENSG00000121053.5	4502	0.0135090377473678	0.628527926746485	0.00663024486107004	0.308439037697861	0.0428937529472163	rs2189681	0.299829956560824	6e-04	0.0126	rs2189681	0.2727
ENSG00000121101.15	4036	0.00567363794451125	0.266503620204249	0.0147934343828949	0.694862941108877	0.0181663663594683	rs2189681	0.372399083093779	0	0.0102	rs2189681	0.3111
ENSG00000121579.12	5368	1.31230385113267e-20	0.561868461258492	7.64571204682804e-21	0.327243516925553	0.110888021815955	rs1567780	0.380997650233028	0.0017	0.0237	rs1567780	0.372
ENSG00000122085.16	7450	2.68900170512828e-18	0.000147341987247969	1.82471891207601e-14	0.999842087563902	1.05704488342751e-05	rs76832527	0.795844067426279	0	0.0129	rs76832527	0.5082
ENSG00000122490.18	4523	1.16925064078747e-15	0.35856341849534	1.98685280243443e-15	0.609257829768711	0.0321787517359451	rs7233358	0.995409398109764	0	0.0116	rs7233358	0.9962
ENSG00000124587.13	5168	3.81467591161856e-27	3.28305708512439e-25	0.0114840527348367	0.988361676998669	0.000154270266497113	rs9986447	0.408481744382972	0	0.0032	rs9986447	0.9967
ENSG00000124593.15	5454	1.05669017794762e-15	0.132199458476503	6.87482299232538e-15	0.860081544321647	0.00771899720184521	rs9369290	0.241200012018456	0	0.0061	rs9369290	0.2659
ENSG00000124664.10	6487	0.000104520583421978	0.560940114181928	7.25992226580681e-05	0.389575539038214	0.0493072269737784	rs9469899	0.0183618870919145	1e-04	0.007	rs9469899	0.0183
ENSG00000124678.17	5331	3.9718494929471e-06	0.021315378029748	0.000182073554106198	0.977116870605686	0.00138170596096558	rs9469899	0.0188019352091371	0	0.013	rs9469899	0.0198
ENSG00000124939.5	4593	0.00021494214410352	0.410313679350898	0.000202060309566791	0.385519158742029	0.203750159453401	rs2277283	0.865069141647665	0.015	0.12	rs2277283	0.7802
ENSG00000125999.10	3864	0.0029758948475965	0.286515908486651	0.00577893815120448	0.556241371054566	0.148487887459982	rs1007123	0.0645833527813547	0.0059	0.1023	rs1007123	0.0623
ENSG00000126858.16	5077	5.13330621222761e-05	0.172291374232354	0.000243250458323516	0.816421029830455	0.0109930124167455	rs4795643	0.108395067964641	0	0.0083	rs117487556	0.0921
ENSG00000128185.9	5821	0.000205527856664825	0.0161743400844366	0.012321342628643	0.96964591318357	0.00165287624668521	rs2238774	0.226747330143294	0	0.002	rs7235	0.2069
ENSG00000128250.5	441	0.00830315041286872	0.835888575497974	0.000549621262636784	0.0552310348636732	0.100027617962848	rs9625483	0.561271870041711	0.0118	0.0274	rs9625483	0.5635
ENSG00000128829.11	5620	0.000272570906886866	0.381892431342016	0.000422894023666021	0.592481543231504	0.0249305604959281	rs4924487	0.0394266367981224	0	0.0084	rs4924487	0.0424
ENSG00000128891.15	4855	2.74528601690409e-27	3.8464562180228e-24	0.000713190867025961	0.999261045110739	2.57640222359703e-05	rs6582	0.519305707607456	0	0.0083	rs6582	0.9962
ENSG00000128928.8	4925	1.2322862508119e-05	0.0172656493527899	0.000699963334427585	0.980722252371824	0.00129981207844964	rs4924487	0.0401255036639363	0	0.0017	rs76277863	0.0787
ENSG00000128944.13	4919	1.18656090121914e-13	1.6624975181491e-10	0.000713209486982293	0.999282038681751	4.75166489705055e-06	rs7169262	0.0719017200903071	0	0.0017	rs7169262	0.0943
ENSG00000129244.8	5814	9.89015627451565e-12	0.223033395012091	3.36243958880569e-11	0.758246666572029	0.0187199383723649	rs9898040	0.196055657935965	0	0.0132	rs9898040	0.1954
ENSG00000129473.9	3104	0.54500389988509	0.229908669271055	0.145325382757579	0.0612867104934559	0.01847533759282	rs111869888	0.0350652615244514	4e-04	0.0036	rs111869888	0.0511
ENSG00000130303.12	6358	0.00133853064498528	0.568104659480467	0.000874492223827004	0.371096986561714	0.058585331089007	rs11666569	0.147159578904074	8e-04	0.0165	rs11669463	0.1588
ENSG00000130311.10	6302	0.00122960721989996	0.521873736231941	0.0010510829705899	0.446074145395065	0.0297714281825038	rs11666569	0.172861697373003	0	0.0067	rs11666569	0.1454
ENSG00000130312.6	6336	3.60753810239535e-19	1.53111437374625e-16	0.00235058619903593	0.997637771777027	1.16420239396372e-05	rs6903	0.189668239346445	0	0.0013	rs6903	0.2356
ENSG00000130653.15	4282	0.225209915399544	0.0212670207424379	0.683896125246641	0.0645766225445174	0.00505031606686024	rs10746563	0.329073328061568	0	0.0013	rs10746563	0.8073
ENSG00000132031.12	6448	1.50959502321837e-20	4.40878467261145e-06	3.42404484214386e-15	0.999995109875782	4.81339541775563e-07	rs9306894	0.553348957814284	0	0.0181	rs9306894	0.5296
ENSG00000132305.20	4478	2.45080077023587e-24	8.97040787019245e-07	2.73209255095593e-18	0.999999054090089	4.88691216831677e-08	rs10175792	0.158902245157618	0	0.006	rs10175792	0.1689
ENSG00000132313.14	4469	1.10063915387625e-20	0.00402855354383755	2.72044779190596e-18	0.995736610824501	0.000234835631659294	rs10175792	0.164469543825672	0	0.0061	rs10175792	0.1765
